index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
39,62c5f7dd262dbd2259e42aa5,2022-04-17T22:00:00.000Z,Max Semenchuk#3335,"Griff (💜,💜)#8888",@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,34.0,8.0,3.0,62c5f7dd262dbd2259e42aac,,62c5f7dd262dbd2259e42aa2,False,False,False,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,6.37,31.0
51,62c5f7dd262dbd2259e42ab1,2022-04-17T22:00:00.000Z,Tamarandom#9361,Yineisy Mota#1449,"@griff (💜, 💜) for being the moderator and co-host respectively during our Commons Prize AMA Twitter space! ",21.0,34.0,3.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,19.33,31.0
20,62c5f7dd262dbd2259e42a92,2022-04-12T22:00:00.000Z,fabiomendes#4802,kristofer#1475,"for adding support for the new Trusted Seed Minter contract to the dashboard subgraph, despite having lots of other commitments! ",5.0,34.0,8.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,usamaahmed#9991,15.67,29.0
69,62c5f7dd262dbd2259e42ac3,2022-04-18T22:00:00.000Z,r33pich33p#6906,Yineisy Mota#1449,for joining our Trusted Seed Lounge call and sharing your questions and ideas around contributing to the community. Thank you so much for all the insights and recommendations we appreciate your feedback! ,1.0,21.0,3.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Yineisy Mota#1449,8.33,20.0
52,62c5f7dd262dbd2259e42ab2,2022-04-17T22:00:00.000Z,iviangita#3204,Yineisy Mota#1449,for hosting Commons Prize AMA Twitter space and supporting the activity! ,21.0,21.0,3.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,15.0,18.0
50,62c5f7dd262dbd2259e42ab0,2022-04-17T22:00:00.000Z,"Griff (💜,💜)#8888",Yineisy Mota#1449,"@griff (💜, 💜) for being the moderator and co-host respectively during our Commons Prize AMA Twitter space! ",3.0,21.0,5.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,usamaahmed#9991,9.67,18.0
70,62c5f7dd262dbd2259e42ac4,2022-04-18T22:00:00.000Z,DarylEdwards.eth#0996,Yineisy Mota#1449,for joining our Trusted Seed Lounge call and sharing your questions and ideas around contributing to the community. Thank you so much for all the insights and recommendations we appreciate your feedback! ,21.0,5.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,9.67,18.0
32,62c5f7dd262dbd2259e42a9e,2022-04-17T22:00:00.000Z,Felipe Duarte#8100,"Griff (💜,💜)#8888",@Felipe Duarte Inga and all the other organizers of TheDAOist for putting on an awesome even and inviting us at the last minute ,3.0,13.0,21.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,Tamarandom#9361,12.33,18.0
33,62c5f7dd262dbd2259e42a9f,2022-04-17T22:00:00.000Z,Guil#8063,"Griff (💜,💜)#8888",@Felipe Duarte Inga and all the other organizers of TheDAOist for putting on an awesome even and inviting us at the last minute ,5.0,21.0,5.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,Yineisy Mota#1449,10.33,16.0
109,62c5f7dd262dbd2259e42aeb,2022-05-05T22:00:00.000Z,Vitor Marthendal#5733,Tamarandom#9361,@Vitor Marthendal for configuring the tokenlog for the CommonsPrize so so so fast! You made my day! 🤸🏽‍♀️ ,21.0,13.0,5.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,13.0,16.0
17,62c5f7dd262dbd2259e42a8f,2022-04-10T22:00:00.000Z,pacobacpac#5457,Yineisy Mota#1449,for reviewing and helping me with the issue on our homepage on the profile pics for the core team and advisors sections! ,5.0,21.0,5.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,usamaahmed#9991,10.33,16.0
40,62c5f7dd262dbd2259e42aa6,2022-04-17T22:00:00.000Z,mafer_cordovas#1034,"Griff (💜,💜)#8888",@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,20.0,13.0,5.0,62c5f7dd262dbd2259e42aa1,62c5f7dd262dbd2259e42aa1,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,4.98,15.0
47,62c5f7dd262dbd2259e42aad,2022-04-17T22:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,20.0,13.0,5.0,62c5f7dd262dbd2259e42aa1,62c5f7dd262dbd2259e42aa1,62c5f7dd262dbd2259e42aa6,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,3.81,15.0
42,62c5f7dd262dbd2259e42aa8,2022-04-17T22:00:00.000Z,kristofer#1475,"Griff (💜,💜)#8888",@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,21.0,,8.0,,,,False,False,False,mafer_cordovas#1034,mafer_cordovas#1034,Tamarandom#9361,14.5,13.0
35,62c5f7dd262dbd2259e42aa1,2022-04-17T22:00:00.000Z,mafer_cordovas#1034,iviangita#3204,@Max Semenchuk for representing Commons Stack in Amsterdam as well ,20.11,13.0,8.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,13.7,12.11
25,62c5f7dd262dbd2259e42a97,2022-04-17T22:00:00.000Z,JessicaZartler#2263,liviade#1387,for her continuous support with the Regen partnership ,8.0,13.0,1.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,usamaahmed#9991,7.33,12.0
1,62c5f7dd262dbd2259e42a7f,2022-04-06T22:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449,for helping me with the Wiki issue!! 🙏 ✨  I definitely won't play in GitHub anymore 😅 ,8.0,3.0,13.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,8.0,10.0
0,62c5f7dd262dbd2259e42a7e,2022-04-06T22:00:00.000Z,"sem(🌸,🐝)#0161",Yineisy Mota#1449,for helping me with the Wiki issue!! 🙏 ✨  I definitely won't play in GitHub anymore 😅 ,8.0,13.0,3.0,,,,False,False,False,liviade#1387,Tamarandom#9361,usamaahmed#9991,8.0,10.0
24,62c5f7dd262dbd2259e42a96,2022-04-17T22:00:00.000Z,Tamarandom#9361,usamaahmed#9991,for having weekly syncs with me and guiding me throughout the commons prize. ,13.0,5.0,3.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,7.0,10.0
21,62c5f7dd262dbd2259e42a93,2022-04-12T22:00:00.000Z,dan13ram#7722,kristofer#1475,for creating great animated graphics for the Trusted Seed Dashboard. ,8.0,13.0,3.0,,,,False,False,False,Tamarandom#9361,Yineisy Mota#1449,usamaahmed#9991,8.0,10.0
29,62c5f7dd262dbd2259e42a9b,2022-04-17T22:00:00.000Z,JeffEmmett#7202,iviangita#3204,for providing their guidance and thoughts about the proposed changes in the Trusted Seed and sharing their time with us ,8.0,13.0,5.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,Yineisy Mota#1449,8.67,8.0
110,62c5f7dd262dbd2259e42aec,2022-05-05T22:00:00.000Z,Tamarandom#9361,markop#2007,for meeting with me to discuss collaboration and partnership models between General Magic and Commons Stack. ,13.0,13.0,5.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,10.33,8.0
111,62c5f7dd262dbd2259e42aed,2022-05-05T22:00:00.000Z,kristofer#1475,liviade#1387,for presenting Praise to the dOrg team! ,5.0,,13.0,,,,False,False,False,mafer_cordovas#1034,mafer_cordovas#1034,Tamarandom#9361,9.0,8.0
44,62c5f7dd262dbd2259e42aaa,2022-04-17T22:00:00.000Z,markop#2007,iviangita#3204,for their continuous support in our graphics ,8.0,5.0,1.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,4.67,7.0
38,62c5f7dd262dbd2259e42aa4,2022-04-17T22:00:00.000Z,mafer_cordovas#1034,liviade#1387,for getting ready to live stream Tam's talk at the DAOist so we can watch it soon! ,8.0,13.0,8.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,9.67,5.0
53,62c5f7dd262dbd2259e42ab3,2022-04-17T22:00:00.000Z,liviade#1387,Yineisy Mota#1449,for joining the Commons Prize AMA Twitter space as a speaker! ✨ ,3.0,8.0,3.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,usamaahmed#9991,4.67,5.0
19,62c5f7dd262dbd2259e42a91,2022-04-11T22:00:00.000Z,Zeptimus#3359,Yineisy Mota#1449, and for helping us keep our channels safe! 🔥 ,3.0,8.0,3.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,4.67,5.0
37,62c5f7dd262dbd2259e42aa3,2022-04-17T22:00:00.000Z,usamaahmed#9991,Yineisy Mota#1449,for helping me to review important content pieces for our ongoing campaigns ,8.0,5.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,5.33,5.0
13,62c5f7dd262dbd2259e42a8b,2022-04-09T22:00:00.000Z,Jeremy&TheGospelOfChange#8201,Tamarandom#9361,for spending Sunday morning with me drafting the Giveth proposal for funding for Commons Stack. 🙌🏽 ,8.0,13.0,8.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,usamaahmed#9991,9.67,5.0
73,62c5f7dd262dbd2259e42ac7,2022-04-20T22:00:00.000Z,"Griff (💜,💜)#8888",Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,1.0,5.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,usamaahmed#9991,3.0,4.0
76,62c5f7dd262dbd2259e42aca,2022-04-20T22:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,5.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,3.0,4.0
75,62c5f7dd262dbd2259e42ac9,2022-04-20T22:00:00.000Z,MS#4235,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,5.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,3.0,4.0
86,62c5f7dd262dbd2259e42ad4,2022-04-20T22:00:00.000Z,liviade#1387,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,1.0,5.0,,,,False,False,False,mafer_cordovas#1034,Tamarandom#9361,usamaahmed#9991,3.0,4.0
14,62c5f7dd262dbd2259e42a8c,2022-04-09T22:00:00.000Z,mafer_cordovas#1034,Knobelsdorf#0326,and Doris for being super awesome roommates at the Giveth House! 🐝 ,5.0,3.0,1.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,3.0,4.0
15,62c5f7dd262dbd2259e42a8d,2022-04-09T22:00:00.000Z,"sem(🌸,🐝)#0161",Knobelsdorf#0326,and Doris for being super awesome roommates at the Giveth House! 🐝 ,5.0,1.0,1.0,,,,False,False,False,liviade#1387,Tamarandom#9361,usamaahmed#9991,2.33,4.0
16,62c5f7dd262dbd2259e42a8e,2022-04-09T22:00:00.000Z,Zeptimus#3359,Knobelsdorf#0326,and Doris for being super awesome roommates at the Giveth House! 🐝 ,3.0,5.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,3.0,4.0
18,62c5f7dd262dbd2259e42a90,2022-04-11T22:00:00.000Z,chuygarcia.eth#6692,Yineisy Mota#1449, and for helping us keep our channels safe! 🔥 ,5.0,1.0,1.0,,,,False,False,False,RachaelMalachy#5837,Yineisy Mota#1449,usamaahmed#9991,2.33,4.0
72,62c5f7dd262dbd2259e42ac6,2022-04-20T22:00:00.000Z,Revathi#5324,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,5.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,usamaahmed#9991,3.0,4.0
84,62c5f7dd262dbd2259e42ad2,2022-04-20T22:00:00.000Z,freshelle#9882,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,5.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,3.0,4.0
28,62c5f7dd262dbd2259e42a9a,2022-04-17T22:00:00.000Z,Kris#8703,iviangita#3204,for providing their guidance and thoughts about the proposed changes in the Trusted Seed and sharing their time with us ,5.0,8.0,,,,,False,False,False,mafer_cordovas#1034,usamaahmed#9991,usamaahmed#9991,6.5,3.0
49,62c5f7dd262dbd2259e42aaf,2022-04-17T22:00:00.000Z,kristofer#1475,Yineisy Mota#1449,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,5.0,,8.0,,,,False,False,False,mafer_cordovas#1034,mafer_cordovas#1034,Tamarandom#9361,6.5,3.0
27,62c5f7dd262dbd2259e42a99,2022-04-17T22:00:00.000Z,kristofer#1475,liviade#1387,for handling our first praise client! ,5.0,,8.0,,,,False,False,False,mafer_cordovas#1034,mafer_cordovas#1034,Tamarandom#9361,6.5,3.0
85,62c5f7dd262dbd2259e42ad3,2022-04-20T22:00:00.000Z,heyjoe#7235,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,3.0,5.0,,,,False,False,False,RachaelMalachy#5837,Yineisy Mota#1449,usamaahmed#9991,3.67,2.0
71,62c5f7dd262dbd2259e42ac5,2022-04-20T22:00:00.000Z,tippi fifestarr#4225,freshelle#9882,@tippi fifestarr for mentioning or retweeting Commons Stack on the socials last week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,1.67,2.0
91,62c5f7dd262dbd2259e42ad9,2022-04-23T22:00:00.000Z,GideonRo#3175,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
90,62c5f7dd262dbd2259e42ad8,2022-04-20T22:00:00.000Z,Yineisy Mota#1449,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,1.67,2.0
74,62c5f7dd262dbd2259e42ac8,2022-04-20T22:00:00.000Z,captnseagraves#0891,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,1.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,2.33,2.0
89,62c5f7dd262dbd2259e42ad7,2022-04-20T22:00:00.000Z,Nik#1078,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,1.0,3.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,RachaelMalachy#5837,1.67,2.0
88,62c5f7dd262dbd2259e42ad6,2022-04-20T22:00:00.000Z,tippi fifestarr#4225,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,1.67,2.0
98,62c5f7dd262dbd2259e42ae0,2022-04-23T22:00:00.000Z,usamaahmed#9991,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3.0,1.0,1.0,,,62c5f7dd262dbd2259e42abc,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,1.43,2.0
78,62c5f7dd262dbd2259e42acc,2022-04-20T22:00:00.000Z,usamaahmed#9991,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,1.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,2.33,2.0
79,62c5f7dd262dbd2259e42acd,2022-04-20T22:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,3.0,3.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,2.33,2.0
96,62c5f7dd262dbd2259e42ade,2022-04-23T22:00:00.000Z,Rodricast#1415,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Yineisy Mota#1449,1.67,2.0
82,62c5f7dd262dbd2259e42ad0,2022-04-20T22:00:00.000Z,Paul in Albuquerque#4390,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,1.0,3.0,,,,False,False,False,liviade#1387,Tamarandom#9361,Yineisy Mota#1449,1.67,2.0
83,62c5f7dd262dbd2259e42ad1,2022-04-20T22:00:00.000Z,brokenreality#1419,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",3.0,1.0,3.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,2.33,2.0
87,62c5f7dd262dbd2259e42ad5,2022-04-20T22:00:00.000Z,VSquared 🏴#4384,Yineisy Mota#1449," @griff (💜, 💜)  @Paul in Albuquerque  @VSquared 🏴 @tippi fifestarr @Yineisy Mota  for joining today's AMA on ""Degen2Regen"", WAGMI! ✨ 💚 ",1.0,1.0,3.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,Yineisy Mota#1449,1.67,2.0
99,62c5f7dd262dbd2259e42ae1,2022-04-23T22:00:00.000Z,freshelle#9882,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
4,62c5f7dd262dbd2259e42a82,2022-04-08T22:00:00.000Z,GideonRo#3175,freshelle#9882,@KZ Flyer @Yineisy Mota @Gregory | RND for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
95,62c5f7dd262dbd2259e42add,2022-04-23T22:00:00.000Z,Yineisy Mota#1449,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Tamarandom#9361,1.67,2.0
67,62c5f7dd262dbd2259e42ac1,2022-04-18T22:00:00.000Z,okiave#1328,freshelle#9882,@Yineisy Mota @usamaahmed@AmwFund for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
106,62c5f7dd262dbd2259e42ae8,2022-04-29T22:00:00.000Z,usamaahmed#9991,freshelle#9882, for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3.0,1.0,1.0,,,62c5f7dd262dbd2259e42abc,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,1.43,2.0
6,62c5f7dd262dbd2259e42a84,2022-04-08T22:00:00.000Z,Kojak#5611,freshelle#9882,@KZ Flyer @Yineisy Mota @Gregory | RND for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
54,62c5f7dd262dbd2259e42ab4,2022-04-18T22:00:00.000Z,r33pich33p#6906,freshelle#9882,@Yineisy Mota @usamaahmed@AmwFund for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,mafer_cordovas#1034,RachaelMalachy#5837,Yineisy Mota#1449,1.67,2.0
55,62c5f7dd262dbd2259e42ab5,2022-04-18T22:00:00.000Z,GideonRo#3175,freshelle#9882,@Yineisy Mota @usamaahmed@AmwFund for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,1.0,3.0,1.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,1.67,2.0
100,62c5f7dd262dbd2259e42ae2,2022-04-23T22:00:00.000Z,captnseagraves#0891,freshelle#9882,@Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3.0,1.0,1.0,,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,1.67,2.0
10,62c5f7dd262dbd2259e42a88,2022-04-08T22:00:00.000Z,zero_2hero#1086,freshelle#9882,@KZ Flyer @Yineisy Mota @Gregory | RND for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,3.0,1.0,1.0,,,,False,False,False,RachaelMalachy#5837,Yineisy Mota#1449,usamaahmed#9991,1.67,2.0
