,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
53,174,62c5f7dd262dbd2259e42b9d,2022-05-28T22:00:00.000Z,Yineisy Mota#1449,Tamarandom#9361,"@Yineisy Mota for doing SO MUCH outreach for Commons Prize and making sure all Trusted Seed know about the final vote and the finalists to vote for!
\ ",0,62c5f7dd262dbd2259e42b95,0,mafer_cordovas#1034,liviade#1387,usamaahmed#9991,11.77,21.0,False,"@Yineisy Mota for doing SO MUCH outreach for Commons Prize and making sure all Trusted Seed know about the final vote and the finalists to vote for!
\ "
70,186,62c5f7dd262dbd2259e42ba9,2022-06-02T22:00:00.000Z,Tamarandom#9361,usamaahmed#9991,for being always top on planning and execution of Commons Prize despite of the challenges faced in the voting process ,62c5f7dd262dbd2259e42afb,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,5.83,13.0,False,for being always top on planning and execution of Commons Prize despite of the challenges faced in the voting process 
71,109,62c5f7dd262dbd2259e42b5c,2022-05-25T22:00:00.000Z,Tamarandom#9361,usamaahmed#9991,for helping me and always coordinating with me with all the Commons Prize material! I learn so much from you. ,62c5f7dd262dbd2259e42afb,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,5.83,13.0,False,for helping me and always coordinating with me with all the Commons Prize material! I learn so much from you. 
72,162,62c5f7dd262dbd2259e42b91,2022-05-26T22:00:00.000Z,usamaahmed#9991,Yineisy Mota#1449,for their amazing work coordinating the Commons Prize! ,62c5f7dd262dbd2259e42b5b,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,5.83,13.0,False,for their amazing work coordinating the Commons Prize! 
73,101,62c5f7dd262dbd2259e42b54,2022-05-23T22:00:00.000Z,divine_comedian#5493,RachaelMalachy#5837,and for honoring our invitation under short notice and sharing their wealth of knowledge to help improve Praise and make it a great tool for our communities ,0,0,62c5f7dd262dbd2259e42b51,RachaelMalachy#5837,mafer_cordovas#1034,liviade#1387,6.63,13.0,False,and for honoring our invitation under short notice and sharing their wealth of knowledge to help improve Praise and make it a great tool for our communities 
76,99,62c5f7dd262dbd2259e42b52,2022-05-23T22:00:00.000Z,Tamarandom#9361,RachaelMalachy#5837,for facilitating the Praise deployment session. Thank you for doing an incredible job and sacrificing extra time even though you had an important commitment. ,62c5f7dd262dbd2259e42afb,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,5.83,13.0,False,for facilitating the Praise deployment session. Thank you for doing an incredible job and sacrificing extra time even though you had an important commitment. 
93,36,62c5f7dd262dbd2259e42b13,2022-05-15T22:00:00.000Z,Jeremy&TheGospelOfChange#8201,Tamarandom#9361,@Nick FIORΞNZA @John Ellison @The Blockchain Socialist ⬛🟥⬛ for presenting their nominations for the Commons Prize in today's voting party! It was great to get to ask questions in real time and hear more about your visions of these communities. ,62c5f7dd262dbd2259e42b0a,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,3.1,8.0,False,@Nick FIORΞNZA @John Ellison @The Blockchain Socialist ⬛🟥⬛ for presenting their nominations for the Commons Prize in today's voting party! It was great to get to ask questions in real time and hear more about your visions of these communities. 
102,103,62c5f7dd262dbd2259e42b56,2022-05-25T22:00:00.000Z,Annn3#3538,chuygarcia.eth#6692,for attending and engaging with the book club's second chapter call ,0,62c5f7dd262dbd2259e42b31,0,Tamarandom#9361,liviade#1387,usamaahmed#9991,4.03,8.0,False,for attending and engaging with the book club's second chapter call 
114,199,62c5f7dd262dbd2259e42bb6,2022-06-05T22:00:00.000Z,Rohekbenitez#8753,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b02,0,0,Yineisy Mota#1449,RachaelMalachy#5837,usamaahmed#9991,1.43,3.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
120,208,62c5f7dd262dbd2259e42bbf,2022-06-05T22:00:00.000Z,usamaahmed#9991,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b08,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,1.43,3.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
129,88,62c5f7dd262dbd2259e42b47,2022-05-19T22:00:00.000Z,usamaahmed#9991,freshelle#9882,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b08,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,1.43,3.0,False,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
148,123,62c5f7dd262dbd2259e42b6a,2022-05-26T22:00:00.000Z,usamaahmed#9991,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b08,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,1.43,3.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
158,197,62c5f7dd262dbd2259e42bb4,2022-06-05T22:00:00.000Z,AmwFund#0979,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b00,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
161,211,62c5f7dd262dbd2259e42bc2,2022-06-05T22:00:00.000Z,graial#0787,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b18,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
163,210,62c5f7dd262dbd2259e42bc1,2022-06-05T22:00:00.000Z,BOILΞR(Chris)#8898,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b6b,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
164,209,62c5f7dd262dbd2259e42bc0,2022-06-05T22:00:00.000Z,Jeremy&TheGospelOfChange#8201,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b0a,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
165,20,62c5f7dd262dbd2259e42b03,2022-05-13T22:00:00.000Z,mercedesrodsim#1317,freshelle#9882,"@KZ Flyer @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @kn00t (🦎, 🦎) for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ",62c5f7dd262dbd2259e42af5,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,"@KZ Flyer @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @kn00t (🦎, 🦎) for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 "
167,207,62c5f7dd262dbd2259e42bbe,2022-06-05T22:00:00.000Z,logonaut.eth#9437,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b67,0,0,Yineisy Mota#1449,liviade#1387,usamaahmed#9991,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
174,202,62c5f7dd262dbd2259e42bb9,2022-06-05T22:00:00.000Z,mercedesrodsim#1317,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42af5,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
178,195,62c5f7dd262dbd2259e42bb2,2022-06-05T22:00:00.000Z,ygg_anderson#4998,freshelle#9882,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b0b,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,@The Blockchain Socialist ⬛🟥⬛ @Block Enthusiast @Will | Regen Foundation @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
187,113,62c5f7dd262dbd2259e42b60,2022-05-26T22:00:00.000Z,AmwFund#0979,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b00,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
188,115,62c5f7dd262dbd2259e42b62,2022-05-26T22:00:00.000Z,mercedesrodsim#1317,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42af5,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
191,118,62c5f7dd262dbd2259e42b65,2022-05-26T22:00:00.000Z,ygg_anderson#4998,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b0b,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
196,122,62c5f7dd262dbd2259e42b69,2022-05-26T22:00:00.000Z,Jeremy&TheGospelOfChange#8201,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b0a,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
197,92,62c5f7dd262dbd2259e42b4b,2022-05-19T22:00:00.000Z,AmwFund#0979,freshelle#9882,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b00,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
198,91,62c5f7dd262dbd2259e42b4a,2022-05-19T22:00:00.000Z,mercedesrodsim#1317,freshelle#9882,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42af5,0,0,Yineisy Mota#1449,Tamarandom#9361,liviade#1387,0.77,1.0,False,@Pat ✨ @The Blockchain Socialist ⬛🟥⬛ @Yineisy Mota @Mert Ozd for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
204,157,62c5f7dd262dbd2259e42b8c,2022-05-26T22:00:00.000Z,John Ellison#5093,iviangita#3204,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 ",0,62c5f7dd262dbd2259e42b71,62c5f7dd262dbd2259e42b71,Tamarandom#9361,liviade#1387,usamaahmed#9991,11.2,21.0,False,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 "
205,158,62c5f7dd262dbd2259e42b8d,2022-05-26T22:00:00.000Z,Juankbell#7458,iviangita#3204,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 ",0,0,62c5f7dd262dbd2259e42b72,Tamarandom#9361,Tamarandom#9361,liviade#1387,13.65,21.0,False,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 "
210,168,62c5f7dd262dbd2259e42b97,2022-05-26T22:00:00.000Z,John Ellison#5093,Yineisy Mota#1449, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ ,0,62c5f7dd262dbd2259e42b71,62c5f7dd262dbd2259e42b71,Tamarandom#9361,liviade#1387,usamaahmed#9991,11.2,21.0,False, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ 
211,169,62c5f7dd262dbd2259e42b98,2022-05-26T22:00:00.000Z,Juankbell#7458,Yineisy Mota#1449, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ ,0,0,62c5f7dd262dbd2259e42b72,Tamarandom#9361,Tamarandom#9361,liviade#1387,13.65,21.0,False, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ 
212,126,62c5f7dd262dbd2259e42b6d,2022-05-26T22:00:00.000Z,graial#0787,freshelle#9882,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,62c5f7dd262dbd2259e42b18,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,0.77,1.0,False,   @Yineisy Mota for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
