,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
64,64,organ daoist mexico ,for organizing the DAOist Mexico!! ,66.99,chuygarcia.eth#6692,2022-03-06T23:00:00.000Z,
65,65,organ regen unit event brussel bring togeth commun mission valu align event space magic happen ,for organizing the Regens Unite event in Brussels and bringing together a community who have mission and values aligned. These events and spaces are where the magic happens. ,84.67,anna-marie#8824,2022-04-03T22:00:00.000Z,
66,66,drive daughter breckenridg devner one sick terribl migrain realli meant much us thank thank thank ,"for driving my daughters and I from Breckenridge to Devner when one of them was sick with a terrible migraine. That really meant so much to all of us. Thank you, thank you, thank you. ",62.0,hanners717#2022,2022-03-10T23:00:00.000Z,
67,67,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,103.0,kristofer#1475,2022-03-06T23:00:00.000Z,['work']
68,68, griff 💜 💜 excel talk regard collabor econom daoist cdmx ,"@griff (💜, 💜) for such an excellent talk regarding Collaborative economics at the DAOist CDMX ",59.8,"Griff (💜,💜)#8888",2022-03-20T23:00:00.000Z,
69,69, sem 🐝 work unbreak vow realli cool use us get done ,"@sem  🐝 for all the work on Unbreakable Vows, this will be really cool and useful for us when it gets done! ",62.0,"sem(🌸,🐝)#0161",2022-03-20T23:00:00.000Z,['work']
70,70, niran panvala continu panvala stewardship benefit mani project special gitcoin round ,@Niran | Panvala for his continuous panvala stewardship that benefits so many projects specially during gitcoin rounds ,62.0,Niran | Panvala#9353,2022-03-20T23:00:00.000Z,['lead']
71,71, akrtw te academi pat zip te academi  sign up te bachelor program ,@akrtws (TE Academy) @pat.zip (TE Academy) for the 900+ sign ups for the TE bachelor program! ,73.33,pat.zip (TE Academy)#5266,2022-04-03T22:00:00.000Z,
72,72, griff 💜 💜 repres common stack giveth daoist ,"@griff (💜, 💜) for representing Commons Stack and Giveth at the DAOist ",61.17,karmaticacid | AFK til Sept 12#1218,2022-03-06T23:00:00.000Z,
73,73, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",89.0,divine_comedian#5493,2022-03-06T23:00:00.000Z,
74,74,share vision prais product untangl busi oper part help commun deploy dao ,for sharing vision for Praise and a product and untangling some of the business / operational parts of how we can help other communities deploy to their own DAOs. ,34.47,kristofer#1475,2022-04-03T22:00:00.000Z,"['work', 'share']"
75,75, griff 💜 💜 mount manu repres common stack giveth tec regen initi mexico citi last weekend ,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",17.97,"Griff (💜,💜)#8888",2022-03-06T23:00:00.000Z,
76,76, griff 💜 💜 mount manu repres common stack giveth tec regen initi mexico citi last weekend ,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",19.1,divine_comedian#5493,2022-03-06T23:00:00.000Z,
77,77,go beyond instal content manag system top trust seed dashboard hero ,for going above and beyond and installing a content management system on top of the Trusted Seed Dashboard.. what a hero! ,107.33,dan13ram#7722,2022-04-03T22:00:00.000Z,
78,78, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",11.43,"Griff (💜,💜)#8888",2022-03-06T23:00:00.000Z,
79,79,initi see common stack regen partnership effort led common stack fist ever commun stake dao regen ledger monument ,for initiating and seeing through the the Commons Stack and Regen partnership. Her efforts led to Commons Stack being the fist ever Community Staking DAO on the Regen Ledger. This is monumental! ,84.67,JessicaZartler#2263,2022-04-03T22:00:00.000Z,
80,80, griff 💜 💜 repres common stack giveth daoist ,"@griff (💜, 💜) for representing Commons Stack and Giveth at the DAOist ",114.33,"Griff (💜,💜)#8888",2022-03-06T23:00:00.000Z,
81,81,help answer question discord commun big hug way 🤗 ,for your help answering questions in discord for our community. Big hug on your way! 🤗 ,38.33,usamaahmed#9991,2022-03-18T23:00:00.000Z,"['discussion', 'work']"
82,82,patienc around edit abc part  doc ,for his patience with me around editing the ABC part 2 doc ,61.0,usamaahmed#9991,2022-03-20T23:00:00.000Z,['work']
83,83,repres cs eth rio ,for representing CS at ETH Rio! ,34.27,hanners717#2022,2022-03-20T23:00:00.000Z,
84,84,kishor hackathon work deep skill initi benefit mani web commun newcom space ,"and Kishore for the hackathon work they did on Deep Skills, an initiative that will benefit many web3 communities and newcomers to the space both. ",38.33,andrej#6442,2022-03-06T23:00:00.000Z,"['work', 'hack']"
85,85,also guid even without realiz import aspect profession person life admir ,"for also guiding me, even without her realizing it, in the most important aspects of my professional and personal life. You have my admiration. ",48.0,Tamarandom#9361,2022-03-14T23:00:00.000Z,
86,86,griff 💜 💜 almost  hour prais quant thank help us process suggest good playlist parti 🎉 ,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",55.62,bustavo#8085,2022-03-08T23:00:00.000Z,['work']
87,87, yineisi mota griff 💜 💜 prais quant work done commun better 💚 ,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",10.59,bustavo#8085,2022-03-08T23:00:00.000Z,['work']
88,88, yineisi mota griff 💜 💜 two prais quant session ,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",105.89,bustavo#8085,2022-03-08T23:00:00.000Z,
89,89,present token engin academi daoist mexico weekend spread good word ,for presenting the Token Engineering Academy at the DAOist Mexico over the weekend and spreading the good word. ,52.33,pat.zip (TE Academy)#5266,2022-03-06T23:00:00.000Z,['share']
90,90, kz flyer michel bauwen well yineisi mota mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,19.67,Yineisy Mota#1449,2022-03-25T23:00:00.000Z,"['work', 'share', 'twitter']"
91,91, yineisi mota set awesom hubspot form common prize ,@Yineisy Mota for setting up an awesome hubspot form for the Commons Prize! ,2.6,Yineisy Mota#1449,2022-04-03T22:00:00.000Z,['lead']
92,92, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",19.0,mafer_cordovas#1034,2022-03-17T23:00:00.000Z,['attendance']
93,93,reach convers end short clearli lot overlap interest commun uncov trust seed membership tend bring togeth align interest ,for reaching out and for our conversation which ended too short. There is clearly a lot of overlap in interests and communities that we uncovered. Trusted Seed membership tends to bring together those with aligned interestes. ,22.0,danielo#2815,2022-03-06T23:00:00.000Z,
94,94, yineisi mota griff 💜 💜 prais quant work done commun better 💚 ,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",5.17,Yineisy Mota#1449,2022-03-08T23:00:00.000Z,['work']
95,95, yineisi mota stick long get common prize materi live today ,@Yineisy Mota for sticking it out so long to get the Commons Prize materials live today! ,24.33,Yineisy Mota#1449,2022-04-03T22:00:00.000Z,
96,96, yineisi mota almost  hour prais quant 😱😱😱 ,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 ,20.17,Yineisy Mota#1449,2022-03-08T23:00:00.000Z,
97,97,awesom buddi support regen partnership ,for being an awesome buddy and supporting the Regen Partnership ,22.67,mafer_cordovas#1034,2022-03-06T23:00:00.000Z,['general']
98,98, yineisi mota griff 💜 💜 two prais quant session ,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",22.67,Yineisy Mota#1449,2022-03-08T23:00:00.000Z,
99,99,repres us talli event dao right ,"for representing us during Tally's event ""DAOing It Right""! ",22.67,liviade#1387,2022-03-20T23:00:00.000Z,
100,100, yineisi mota work  hour common interest campaign ,@Yineisy Mota for working with me for 2 hours on the Commons Interest campaign!! ,22.67,Yineisy Mota#1449,2022-03-14T23:00:00.000Z,['work']
101,101,realli cool work push gratitud cultur forward grate giraff ,for the really cool work pushing gratitude culture forward with Grateful Giraffes ,24.33,Adar#8316,2022-03-06T23:00:00.000Z,['work']
102,102,best tour guid translat sim card instal ethrio realli appreci help advic genuin care ,"for being the best tour guide, translator, SIM card installer in all of EthRio. I really appreciated your help, advice, and genuine care! ",24.33,thiago.rossi#1714,2022-03-20T23:00:00.000Z,['work']
103,103,excel work graphic abc articl ,for such an excellent work he is doing on graphics for the ABC article. ,25.33,Rodricast#1415,2022-04-03T22:00:00.000Z,['work']
104,104, adam stallard super solicit help us integr brightid tec reward system ,@Adam Stallard for being super solicit to help us integrate BrightID in the TEC reward system ,25.33,Adam Stallard#5971,2022-03-06T23:00:00.000Z,['work']
105,105,griff 💜 💜 almost  hour prais quant thank help us process suggest good playlist parti 🎉 ,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",25.33,thiago.rossi#1714,2022-03-08T23:00:00.000Z,['work']
106,106,great hire work done help us find usama next fundrais lead  trial month ,"for all the great hiring work that they have done to help us find Usama, and our next fundraising leads! (2 are on trial months now!) ",25.33,hanners717#2022,2022-03-20T23:00:00.000Z,"['work', 'lead']"
107,107,didat kind program manag ,for being so didatic and kind as a program manager ,32.33,Tamarandom#9361,2022-03-06T23:00:00.000Z,
108,108,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,23.67,MS#4235,2022-03-06T23:00:00.000Z,['work']
109,109, yineisi mota guid trust seed scholarship registr excel team player ,@Yineisy Mota for guiding me about trusted seed scholarship registration and being an excellent team player. ,23.67,Yineisy Mota#1449,2022-03-20T23:00:00.000Z,
110,110,support common stack graphic poap ,for their support in Commons Stack graphics and POAPs ,25.33,Rodricast#1415,2022-04-03T22:00:00.000Z,['general']
111,111,answer question wonder convers around differ thing ,for answering my questions and having a wonderful conversation around different things. ,34.0,Tamarandom#9361,2022-03-17T23:00:00.000Z,['discussion']
112,112, mount manu good work daoist mexico ,@Mount Manu for all the good work during the DAOist Mexico ,17.5,chuygarcia.eth#6692,2022-03-06T23:00:00.000Z,['work']
113,113,incred transpar work tec ,for all the incredible transparency work in the TEC ,29.67,Zeptimus#3359,2022-04-03T22:00:00.000Z,['work']
114,114, yineisi mota make great look common prize land page ,@Yineisy Mota for making a great looking commons prize landing page! ,29.67,Yineisy Mota#1449,2022-04-03T22:00:00.000Z,['work']
115,115,throw great confer mexico citi ,for throwing a great conference in mexico city ,19.75,chuygarcia.eth#6692,2022-03-06T23:00:00.000Z,
116,116,give relev wise feedback prais busi case ,for giving relevant and wise feedback on the Praise business case ,36.67,Tamarandom#9361,2022-04-03T22:00:00.000Z,
117,117,work  hour common interest campaign ,for working with me for 2 hours on the Commons Interest campaign!! ,36.67,Tamarandom#9361,2022-03-14T23:00:00.000Z,['work']
118,118,help cs februari newslett draft idea proofread rock ,"for helping me with CS February newsletter (drafting, ideas, and proofreading) you rock! ",36.67,Tamarandom#9361,2022-03-06T23:00:00.000Z,['work']
119,119,energi put common prize commun ,for all the energy she's putting in the Commons Prize communication ,36.67,Tamarandom#9361,2022-04-03T22:00:00.000Z,
120,120,extraordinari effort lead recruit newcom common stack among sister organ 🌱 ,"for the extraordinary efforts she has been leading in recruiting newcomers into Commons Stack, among other sister organizations. 🌱 ",36.67,hanners717#2022,2022-03-06T23:00:00.000Z,['lead']
121,121, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",12.0,Juankbell#7458,2022-03-17T23:00:00.000Z,['attendance']
122,122, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",13.33,Leen#8610,2022-03-17T23:00:00.000Z,['attendance']
123,123, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",13.33,enti#1546,2022-03-17T23:00:00.000Z,['attendance']
124,124, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",13.33,The Prophet Margin#9051,2022-03-17T23:00:00.000Z,['attendance']
125,125,part ama bring inclus cultur web public good ,for being part of our AMA for bringing an inclusivity culture to Web3 and Public Goods ,5.8,Juankbell#7458,2022-03-17T23:00:00.000Z,
126,126, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",13.33,mantis#6576,2022-03-17T23:00:00.000Z,['attendance']
127,127, yineisi mota mercedesrodsimfor mention retweet common stack social past week thank help us grow common stack commun spread messag 🙏🏼🌱 ,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,12.67,BiancaGadelha#2667,2022-03-17T23:00:00.000Z,"['work', 'share', 'twitter']"
128,128,make progress transcrib prais sprint review ,for making progress in transcribing praise from our sprint reviews ,16.0,missgene#7773,2022-04-03T22:00:00.000Z,['work']
129,129, yineisi mota griff 💜 💜 two prais quant session ,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",13.33,thiago.rossi#1714,2022-03-08T23:00:00.000Z,
130,130, max semenchuk lead ts sync help us organ idea goal wizard 🧙‍♂️ ,@Max Semenchuk for leading the TS syncs and help us organize our ideas and goals. You are a wizard 🧙‍♂️ ,5.8,Max Semenchuk#3335,2022-04-03T22:00:00.000Z,"['work', 'lead']"
131,131, griff 💜 💜 yineisi mota warmth love alway ,"@griff (💜, 💜) @Yineisy Mota for your warmth and love now and always ",14.33,Yineisy Mota#1449,2022-03-08T23:00:00.000Z,
132,132, max semenchuk host ts sync today bring us clariti us count us ❤️ ,"@Max Semenchuk for hosting our TS Sync today, bringing us clarity, and for just being here for us. You can count on us ❤️ ",14.33,Max Semenchuk#3335,2022-03-14T23:00:00.000Z,['lead']
133,133,dish twitter engag prais everi week reach encount issu process ,for dishing Twitter engagement praise every week and reaching out when she encounters issues during the process ,5.8,freshelle#9882,2022-04-03T22:00:00.000Z,['twitter']
134,134, yineisi mota take time answer question matter basic trivial thank much awesom ,@Yineisy Mota for taking the time to answer my questions no matter how basic and trivial they were. Thank you very much! You're awesome! ,15.0,Yineisy Mota#1449,2022-03-17T23:00:00.000Z,['discussion']
